report_row_no,proposed_item_code,category_name,location_name,description,uom,rack_no,opening_stock,total_received,total_issued,interloc_transfer,material_return,physical_adjustment,price_adjustment,other_misc,closing_stock,unit_price,purchase_order_no,delivery_order_no,remarks,active
1,CON-LBW-0001,Consumables,"Labuan Warehouse - Yard 1 (General Store)","AIR HOSE 1 1/2""",ROLL,"GNRL TOP STORE",0,0,0,0,0,0,0,0,0,1200.00,,,,
2,CON-LBW-0002,Consumables,"Labuan Warehouse - Yard 1 (General Store)","AIR HOSE 1/2""",ROLL,"GNRL TOP STORE",0,0,0,0,0,0,0,0,0,105.00,,,,
3,CON-LBW-0003,Consumables,"Labuan Warehouse - Yard 1 (General Store)","AIR HOSE 1""",ROLL,"GNRL TOP STORE",0,0,0,0,0,0,0,0,0,395.00,,,,
4,CON-LBW-0004,Consumables,"Labuan Warehouse - Yard 1 (General Store)","AIR HOSE 2""",ROLL,"GNRL TOP STORE",0,0,0,0,0,0,0,0,0,1800.00,,,,
5,CON-LBW-0005,Consumables,"Labuan Warehouse - Yard 1 (General Store)","BAG, SELF SEAL, CLEAR PLASTIC BAG 9"" X 14"" (1 PKT/100 PCS)",PKT,GS-18-A,108,0,0,0,0,0,0,0,108,38.00,,,,
6,CON-LBW-0006,Consumables,"Labuan Warehouse - Yard 1 (General Store)","BAG, SUGAR BAG",PC,GS-1-A,0,0,0,0,0,0,0,0,0,0.85,,,,
7,CON-LBW-0007,Consumables,"Labuan Warehouse - Yard 1 (General Store)","BAG, SUGAR BAG",PC,GS-1-A,550,0,50,0,0,0,0,0,500,0.80,,,,
8,CON-LBW-0008,Consumables,"Labuan Warehouse - Yard 1 (General Store)","BAG, JUMBO BAG (POLYROPELENE BAG)",PC,GS-11-B,0,0,0,0,0,0,0,0,0,2.50,,,,
9,CON-LBW-0009,Consumables,"Labuan Warehouse - Yard 1 (General Store)","BAG, JUMBO BAG 2 TON",PC,FLOOR,0,0,0,0,0,0,0,0,0,45.00,,,,
10,CON-LBW-0010,Consumables,"Labuan Warehouse - Yard 1 (General Store)","BAG, JUMBO BAG 2 TON",PC,GS-21-A,1,0,0,0,0,0,0,0,1,48.00,,,,
11,CON-LBW-0011,Consumables,"Labuan Warehouse - Yard 1 (General Store)","BAG, EMPTY GMA GARNET BAG CAPACITY 2 TON",PC,GS-21-A,0,0,0,0,0,0,0,0,0,60.00,,,,
12,CON-LBW-0012,Consumables,"Labuan Warehouse - Yard 1 (General Store)","BAND,IT DENVER",PC,GS-19-B,0,0,0,0,0,0,0,0,0,10.00,,,,
13,CON-LBW-0013,Consumables,"Labuan Warehouse - Yard 1 (General Store)","BAND, STRAPPING BAND MS 5/8"" (15KG/ROLL)",ROLL,FLOOR,4,0,0,0,0,0,0,0,4,200.00,,,,
14,CON-LBW-0014,Consumables,"Labuan Warehouse - Yard 1 (General Store)","BAND, STRAPPING BAND MS 5/8"" (15KG/ROLL)",ROLL,FLOOR,0,0,0,0,0,0,0,0,0,200.00,,,,
15,CON-LBW-0015,Consumables,"Labuan Warehouse - Yard 1 (General Store)","BLANKET, FIRE BLANKET",PC,GS-22-A,0,0,0,0,0,0,0,0,0,980.00,,,,
16,CON-LBW-0016,Consumables,"Labuan Warehouse - Yard 1 (General Store)","BROOM, ROUGH NECK BROOM C/W LONG HANDLE",PC,GS-11-A,0,0,0,0,0,0,0,0,0,5.50,,,,
17,CON-LBW-0017,Consumables,"Labuan Warehouse - Yard 1 (General Store)","BRUSH, DOG LEG PAINT BRUSH 1""",PC,GS-12-A,0,0,0,0,0,0,0,0,0,1.50,,,,
18,CON-LBW-0018,Consumables,"Labuan Warehouse - Yard 1 (General Store)","BRUSH, DOG LEG PAINT BRUSH 2""",PC,GS-12-A,6,0,0,0,0,0,0,0,6,1.80,,,,
19,CON-LBW-0019,Consumables,"Labuan Warehouse - Yard 1 (General Store)","BRUSH, DOG LEG PAINT BRUSH 2""",PC,GS-12-A,0,0,0,0,0,0,0,0,0,1.82,,,,
20,CON-LBW-0020,Consumables,"Labuan Warehouse - Yard 1 (General Store)","BRUSH, WIRE CUP BRUSH 3""",PC,GS-23-B,0,0,0,0,0,0,0,0,0,15.00,,,,
21,CON-LBW-0021,Consumables,"Labuan Warehouse - Yard 1 (General Store)","BRUSH, WIRE CUP BRUSH 4""",PC,GS-23-B,0,0,0,0,0,0,0,0,0,24.00,,,,
22,CON-LBW-0022,Consumables,"Labuan Warehouse - Yard 1 (General Store)","BRUSH, WIRE HAND BRUSH STRAIGHT HANDLE STAINLESS STEEL",PC,"RACK 4",0,0,0,0,0,0,0,0,0,5.57,,,,
23,CON-LBW-0023,Consumables,"Labuan Warehouse - Yard 1 (General Store)","BRUSH, WIRE HAND BRUSH STRAIGHT HANDLE ""SHOE HANDLE""",PC,"RACK 4",0,0,0,0,0,0,0,0,0,1.30,,,,
24,CON-LBW-0024,Consumables,"Labuan Warehouse - Yard 1 (General Store)","BUCKLE, FOR BAND, 5/8"", MS (200PCS/BOX)",BOX,GS-19-A,0,0,0,0,0,0,0,0,0,19.00,,,,
25,CON-LBW-0025,Consumables,"Labuan Warehouse - Yard 1 (General Store)","BUCKLE, FOR BAND, 5/8"", MS (200PCS/BOX)",BOX,GS-19-A,5,0,0,0,0,0,0,0,5,18.00,,,,
26,CON-LBW-0026,Consumables,"Labuan Warehouse - Yard 1 (General Store)","CANVAS, 25"" X 25"" GREEN",ROLL,FLOOR,0,0,0,0,0,0,0,0,0,390.00,,,,
27,CON-LBW-0027,Consumables,"Labuan Warehouse - Yard 1 (General Store)","CLIP, BULLDOG CLIP, 3/4"" GALV'D CHINA",PC,GS-13-A,100,0,0,0,0,0,0,0,100,2.70,,,,
28,CON-LBW-0028,Consumables,"Labuan Warehouse - Yard 1 (General Store)","CLIP, BULLDOG CLIP, 3/4"" GALV'D CHINA, OFFER: 20MM",PC,GS-13-A,0,0,0,0,0,0,0,0,0,1.50,,,,
29,CON-LBW-0029,Consumables,"Labuan Warehouse - Yard 1 (General Store)","PIN, SAFETY PIN COTTER, 4MM, FOR SHACKLE",PC,GS-24-B,0,0,0,0,0,0,0,0,0,0.24,,,,
30,CON-LBW-0030,Consumables,"Labuan Warehouse - Yard 1 (General Store)","PIN, SAFETY PIN COTTER, 6MM, FOR SHACKLE ""OFFER: 6MM X 50MM""",PC,GS-18-A,0,0,0,0,0,0,0,0,0,0.25,,,,
31,CON-LBW-0031,Consumables,"Labuan Warehouse - Yard 1 (General Store)","PIN, COTTER PIN, M6 X 50MM",PC,GS-18-1,250,0,100,0,0,0,0,0,150,0.25,,,,
32,CON-LBW-0032,Consumables,"Labuan Warehouse - Yard 1 (General Store)","PIN, SAFETY PIN FOR SHACKLE 3.25 TON",PC,GS-18-A,0,0,0,0,0,0,0,0,0,0.25,,,,
33,CON-LBW-0033,Consumables,"Labuan Warehouse - Yard 1 (General Store)","PIN, SAFETY PIN COTTER, 4MM, FOR SHACKLE",PC,GS-24-B,100,0,100,0,0,0,0,0,0,0.15,,,,
34,CON-LBW-0034,Consumables,"Labuan Warehouse - Yard 1 (General Store)","PIN, COTTON PIN, GALV, 4MM X 40MM",PC,GS-18-1,500,0,0,0,0,0,0,0,500,0.20,,,,
35,CON-LBW-0035,Consumables,"Labuan Warehouse - Yard 1 (General Store)","PLYWOOD, 4' X 8' X 5.2MM THK",PC,GS-29-A,0,0,0,0,0,0,0,0,0,38.00,,,,
36,CON-LBW-0036,Consumables,"Labuan Warehouse - Yard 1 (General Store)","PLYWOOD, 4' X 8' X 12MM THK",PC,FLOOR,0,0,0,0,0,0,0,0,0,78.00,,,,
37,CON-LBW-0037,Consumables,"Labuan Warehouse - Yard 1 (General Store)","PLYWOOD, 4' X 8' X 12MM THK",PC,FLOOR,12,0,0,0,0,0,0,0,12,72.00,,,,
38,CON-LBW-0038,Consumables,"Labuan Warehouse - Yard 1 (General Store)","PLYWOOD, 4"" X 8"" X 6MM, OFFER 5.2MM THK X 4' X 8'",PC,FLOOR,0,0,0,0,0,0,0,0,0,30.00,,,,
39,CON-LBW-0039,Consumables,"Labuan Warehouse - Yard 1 (General Store)","PLYWOOD, 4"" X 8"" X 3MM",PC,FLOOR,50,0,2,0,0,0,0,0,48,30.00,,,,
40,CON-LBW-0040,Consumables,"Labuan Warehouse - Yard 1 (General Store)","PLYWOOD, 4"" X 8"" X 6MM",PC,FLOOR,0,0,0,0,0,0,0,0,0,40.00,,,,
41,CON-LBW-0041,Consumables,"Labuan Warehouse - Yard 1 (General Store)","RAG, COTTON RAG (20KG/1BAG)",BAG,FLOOR,1,5,0,0,0,0,0,0,6,55.00,172542,PI-YC-26-0214,"RECEIVED 5 BAGS",true
42,CON-LBW-0042,Consumables,"Labuan Warehouse - Yard 1 (General Store)","REFILL, PAINT ROLLER REFILL 4"" 'CRISTIN' OFFER: TIGER SERIES PAINT ROLLER REFILL 4"" CHINA",PC,Rack,0,0,0,0,0,0,0,0,0,0.80,,,,
43,CON-LBW-0043,Consumables,"Labuan Warehouse - Yard 1 (General Store)","REFILL, PAINT ROLLER REFILL 4"" 'CRISTIN'",PC,GS-23-B,0,0,0,0,0,0,0,0,0,0.75,,,,
44,CON-LBW-0044,Consumables,"Labuan Warehouse - Yard 1 (General Store)","REFILL, PAINT ROLLER REFILL 4"" 'CRISTIN', ORIGIN CHINA",PC,GS-23-B,40,0,40,0,0,0,0,0,0,0.80,,,,
45,CON-LBW-0045,Consumables,"Labuan Warehouse - Yard 1 (General Store)","RESPIRATOR, REUSABLE HALF-FACE DUAL RESPIRATOR ""3M 6200""",SET,GS-17-A,0,0,0,0,0,0,0,0,0,48.00,,,,
46,CON-LBW-0046,Consumables,"Labuan Warehouse - Yard 1 (General Store)","REMOVAL, PAINT REMOVAL (4 LITRE/TIN)",TIN,GS-13-A,0,0,0,0,0,0,0,0,0,48.00,,,,
47,CON-LBW-0047,Consumables,"Labuan Warehouse - Yard 1 (General Store)","ROPE, MANILA ROPE 1/2"" X 200MTR",ROLL,FLOOR,0,0,0,0,0,0,0,0,0,137.00,,,,
48,CON-LBW-0048,Consumables,"Labuan Warehouse - Yard 1 (General Store)","ROPE, MANILA ROPE 1/2"" X 220MTR",ROLL,FLOOR,24,0,2,0,0,0,0,0,22,144.00,,,,
49,CON-LBW-0049,Consumables,"Labuan Warehouse - Yard 1 (General Store)","ROPE, MANILA ROPE 1/2"" X 200MTR",ROLL,FLOOR,0,20,0,0,0,0,0,0,20,140.00,172542,PI-YC-26-0214,"RECEIVED 20 PCS",true
50,CON-LBW-0050,Consumables,"Labuan Warehouse - Yard 1 (General Store)","ROPE, MANILA ROPE 1/4"" X 220MTR",ROLL,FLOOR,0,0,0,0,0,0,0,0,0,52.25,,,,
51,CON-LBW-0051,Consumables,"Labuan Warehouse - Yard 1 (General Store)","ROPE, MANILA ROPE 5/8"" X 200MTR",ROLL,FLOOR,0,0,0,0,0,0,0,0,0,257.00,,,,
52,CON-LBW-0052,Consumables,"Labuan Warehouse - Yard 1 (General Store)","SHEET, POLYTHENE SHEET 0.5MTR X 20KG",ROLL,GS-32-A,0,0,0,0,0,0,0,0,0,98.00,,,,
53,CON-LBW-0053,Consumables,"Labuan Warehouse - Yard 1 (General Store)","SHEET, POLYTHENE SHEET 2MTR X 30KG",ROLL,GS-21-B,49,0,0,0,0,0,0,0,49,210.00,,,,
54,CON-LBW-0054,Consumables,"Labuan Warehouse - Yard 1 (General Store)","SHEET, POLYTHENE SHEET 6FT X 30KG",ROLL,,0,0,0,0,0,0,0,0,0,160.05,,,,
55,CON-LBW-0055,Consumables,"Labuan Warehouse - Yard 1 (General Store)","SHEET, TARPAULIN SHEET, BLUE & WHITE 6 X 100FT",ROLL,GS-3-A / GS-4-A,3,0,0,0,0,0,0,0,3,62.00,,,,
56,CON-LBW-0056,Consumables,"Labuan Warehouse - Yard 1 (General Store)","TAPE, MASKING TAPE 2"" WIDE, OFFER: 72 ROLLS/BOX",ROLL,GS-7-A,0,0,0,0,0,0,0,0,0,1.30,,,,
57,CON-LBW-0057,Consumables,"Labuan Warehouse - Yard 1 (General Store)","TAPE, MASKING TAPE 2"" WIDE",ROLL,GS-7-A,197,0,0,0,0,0,0,0,197,1.45,,,,
58,CON-LBW-0058,Consumables,"Labuan Warehouse - Yard 1 (General Store)","TAPE, MASKING TAPE 3"" WIDE, OFFER: 48 ROLLS/BOX",ROLL,GS-2-7-3-A,0,0,0,0,0,0,0,0,0,2.40,,,,
59,CON-LBW-0059,Consumables,"Labuan Warehouse - Yard 1 (General Store)","TAPE, MASKING TAPE 3"" WIDE",ROLL,GS-2-7-3-A,361,0,0,0,0,0,0,0,361,3.20,,,,
60,CON-LBW-0060,Consumables,"Labuan Warehouse - Yard 1 (General Store)","TAPE, TEFLON PIFE TAPE 1/2""(THREAD SEAL)",PC,GS-23-B,0,0,0,0,0,0,0,0,0,0.40,,,,
61,CON-LBW-0061,Consumables,"Labuan Warehouse - Yard 1 (General Store)","TIE,CABLE TIE 8MM x 300MM",PC,GS-23-B,0,0,0,0,0,0,0,0,0,2.08,,,,
62,CON-LBW-0062,Consumables,"Labuan Warehouse - Yard 1 (General Store)","WRAPPING FILM 500MM (W) x 1.6KG (6 ROLL/BOX)",ROLL,GS-2-A,59,0,5,0,0,0,0,0,54,15.00,,,,
63,CON-LBW-0063,Consumables,"Labuan Warehouse - Yard 1 (General Store)","WRAPPING FILM 500MM (W) x 1.6KG",ROLL,GS-2-A,0,120,0,0,0,0,0,0,120,30.00,172542,PI-YC-26-0214,"RECEIVED 120 ROLLS",true
64,CON-LBW-0064,Consumables,"Labuan Warehouse - Yard 1 (General Store)","WD 40 ""ANTI RUST LUBRICANT GT40""","CAN'",GS-17-A,0,0,0,0,0,0,0,0,0,5.40,,,,
65,CON-LBW-0065,Consumables,"Labuan Warehouse - Yard 1 (General Store)","WD 40 LUBRICATING OIL (ANTI-RUST)",BTL,GS-17-A,14,0,0,0,0,0,0,0,14,5.50,,,,
66,CON-LBW-0066,Consumables,"Labuan Warehouse - Yard 1 (General Store)","WHEEL, PIPE CUTTER WHEEL ""RECORD 202""",PC,GS-14-A,0,0,0,0,0,0,0,0,0,48.00,,,,
71,PPE-LBW-0071,PPE Stock,"Labuan Warehouse - Yard 1 (General Store)","GLOVE, RIGGER GLOVE ""BONDWELD""",PAIR,GS-19-A,0,0,0,0,0,0,0,0,0,3.85,,,,
72,PPE-LBW-0072,PPE Stock,"Labuan Warehouse - Yard 1 (General Store)","GLOVE, RIGGER HAND GLOVE ""TOUGHER"" C/W SIRIM DOSH LABEL OFFER: WITHOUT DOSH SIRIM LABEL",PAIR,GS-19-A,0,0,0,0,0,0,0,0,0,6.00,,,,
73,PPE-LBW-0073,PPE Stock,"Labuan Warehouse - Yard 1 (General Store)","GLOVE, RIGGER HAND GLOVE, OFFER: SEMI-LEATHER GLOVE (120PC/BOX)",PAIR,,64,0,4,0,0,0,0,0,60,3.58,,,,
74,PPE-LBW-0074,PPE Stock,"Labuan Warehouse - Yard 1 (General Store)","GLOVE, SEIBERTRON HIGH-Vis S-FLEXIBLE 04 IN KNIT CUT RESISITANT IMPACT GLOVE, SIZE: M, EN388 4543DP",PAIR,,7,0,1,0,0,0,0,0,6,46.31,,,,
75,PPE-LBW-0075,PPE Stock,"Labuan Warehouse - Yard 1 (General Store)","GLOVE, SEIBERTRON HIGH-Vis S-FLEXIBLE 04 IN KNIT CUT RESISITANT IMPACT GLOVE, SIZE: L, EN388 4543DP",PAIR,,21,0,0,0,0,0,0,0,21,46.31,,,,
76,PPE-LBW-0076,PPE Stock,"Labuan Warehouse - Yard 1 (General Store)","GLOVE, SEIBERTRON HIGH-Vis S-FLEXIBLE 04 IN KNIT CUT RESISITANT IMPACT GLOVE, SIZE: XL, EN388 4543DP",PAIR,,24,0,0,0,0,0,0,0,24,46.31,,,,
77,PPE-LBW-0077,PPE Stock,"Labuan Warehouse - Yard 1 (General Store)","GLOVE, ESKO RED SHIELD 27 CM, OFFER: PVC DIPPED RED CHEMICAL GLOVE 450MM",PAIR,"RACK 2",11,0,0,0,0,0,0,0,11,8.50,,,,
78,PPE-LBW-0078,PPE Stock,"Labuan Warehouse - Yard 1 (General Store)","GLOVE, SCAFFOLDING GLOVE ""TAIWAN""",PAIR,GS-03-B,0,0,0,0,0,0,0,0,0,4.20,,,,
79,PPE-LBW-0079,PPE Stock,"Labuan Warehouse - Yard 1 (General Store)","GLOVE, RUBBER CHEMICAL RESISTANCE 14"" LONG",PAIR,,0,0,0,0,0,0,0,0,0,3.50,,,,
80,PPE-LBW-0080,PPE Stock,"Labuan Warehouse - Yard 1 (General Store)","PLUG, EAR PLUG C/W STRING, FOAM P/N: 1110 ""JACKSON""",PAIR,GS-18-A,0,0,0,0,0,0,0,0,0,0.45,,,,
81,PPE-LBW-0081,PPE Stock,"Labuan Warehouse - Yard 1 (General Store)","PLUG, CORDED FOAM EARPLUG C/W STRING, P/N: 311-1250 NRR3dB, E-A-RSOFT, YELLOW NEONS ""3M"" (200PR/BOX) C/W DOSH SIRIM LABEL",PAIR,GS-18-A,147,0,0,0,0,0,0,0,147,1.685,,,,
83,PNT-LBW-0083,Paint,"Labuan Warehouse - Yard 1 (General Store)","PAINT, AEROSOL SPRAY PAINT RED",TIN,FLOOR,0,0,0,0,0,0,0,0,0,6.50,,,,
84,PNT-LBW-0084,Paint,"Labuan Warehouse - Yard 1 (General Store)","PAINT, AEROSOL SPRAY PAINT BLUE",TIN,FLOOR,0,0,0,0,0,0,0,0,0,6.50,,,,
85,PNT-LBW-0085,Paint,"Labuan Warehouse - Yard 1 (General Store)","PAINT, AEROSOL SPRAY PAINT YELLOW",TIN,FLOOR,0,0,0,0,0,0,0,0,0,5.47,,,,
86,PNT-LBW-0086,Paint,"Labuan Warehouse - Yard 1 (General Store)","PAINT, AEROSOL SPRAY PAINT ORANGE",TIN,FLOOR,0,0,0,0,0,0,0,0,0,5.47,,,,
87,PNT-LBW-0087,Paint,"Labuan Warehouse - Yard 1 (General Store)","PAINT, AEROSOL SPRAY PAINT WHITE",TIN,FLOOR,0,0,0,0,0,0,0,0,0,6.50,,,,
88,PNT-LBW-0088,Paint,"Labuan Warehouse - Yard 1 (General Store)","PAINT, AEROSOL SPRAY PAINT PINK",TIN,FLOOR,0,0,0,0,0,0,0,0,0,6.50,,,,
89,PNT-LBW-0089,Paint,"Labuan Warehouse - Yard 1 (General Store)","PAINT, AEROSOL SPRAY PAINT BLACK",TIN,FLOOR,0,0,0,0,0,0,0,0,0,5.47,,,,
90,PNT-LBW-0090,Paint,"Labuan Warehouse - Yard 1 (General Store)","PAINT, AEROSOL SPRAY PAINT GREEN",TIN,FLOOR,0,0,0,0,0,0,0,0,0,6.50,,,,
